"Drug_Name","Year","Total Prescriptions","Total Patients","Total Cost","Out-Of-Pocket Cost","Total Cost Per Day","Out-Of-Pocket Cost Per Day"
"Tizanidine",2015,"6,576,783","1,489,865","$36.67","$5.95","$1.49","$0.22"
"Tizanidine",2016,"6,401,817","1,378,006","$50.15","$5.64","$1.92","$0.21"
"Tizanidine",2017,"9,005,251","2,058,533","$83.45","$5.91","$1.32","$0.20"
"Tizanidine",2018,"8,901,700","2,152,671","$40.17","$7.17","$1.45","$0.25"
"Tizanidine",2019,"8,729,694","2,243,428","$26.49","$6.67","$0.97","$0.26"
"Tizanidine",2020,"8,705,644","2,269,444","$22.70","$5.06","$0.97","$0.26"
"Tizanidine",2021,"8,192,389","2,238,146","$20.40","$4.62","$0.77","$0.17"
"Tizanidine",2022,"6,971,104","2,286,583","$23.79","$7.06","$0.97","$0.21"
"Sumatriptan",2013,"6,116,956","1,483,166","$157.62","$49.52","$17.11","$4.47"
"Sumatriptan",2014,"5,309,154","1,324,018","$87.01","$5.93","$10.98","$0.48"
"Sumatriptan",2015,"5,399,563","1,444,791","$128.40","$26.90","$8.98","$1.58"
"Sumatriptan",2016,"6,564,780","1,742,876","$114.32","$8.31","$6.57","$0.38"
"Sumatriptan",2017,"8,126,158","2,015,241","$51.06","$8.61","$3.25","$0.59"
"Sumatriptan",2018,"6,674,685","1,805,282","$75.11","$13.99","$9.10","$2.14"
"Sumatriptan",2019,"7,050,329","1,839,891","$134.28","$86.55","$10.96","$4.09"
"Sumatriptan",2020,"5,915,272","1,658,061","$90.43","$60.76","$5.17","$3.22"
"Sumatriptan",2021,"5,873,389","1,747,757","$37.19","$7.74","$3.78","$0.50"
"Sumatriptan",2022,"6,899,199","2,105,101","$52.13","$7.74","$7.32","$1.05"
"Amoxicillin; Clavulanate",2013,"5,857,589","4,762,131","$38.03","$12.89","$3.83","$1.18"
"Amoxicillin; Clavulanate",2014,"6,733,526","4,743,386","$130.62","$22.20","$17.61","$2.96"
"Amoxicillin; Clavulanate",2015,"10,389,777","7,895,483","$40.76","$11.41","$4.36","$1.34"
"Amoxicillin; Clavulanate",2016,"6,579,603","5,427,882","$46.30","$11.16","$6.41","$1.16"
"Amoxicillin; Clavulanate",2017,"6,398,915","4,617,677","$109.90","$17.03","$3.07","$1.20"
"Amoxicillin; Clavulanate",2018,"8,573,553","6,146,014","$38.02","$7.18","$4.67","$0.74"
"Amoxicillin; Clavulanate",2019,"8,372,244","6,468,086","$32.62","$8.09","$4.27","$0.87"
"Amoxicillin; Clavulanate",2020,"6,086,124","4,558,138","$26.88","$10.18","$3.28","$0.99"
"Amoxicillin; Clavulanate",2021,"5,236,139","4,264,890","$24.46","$8.57","$2.65","$0.95"
"Amoxicillin; Clavulanate",2022,"6,874,603","5,534,480","$26.51","$8.21","$3.21","$0.83"
"Olmesartan",2013,"5,057,838","918,767","$161.66","$33.33","$4.62","$0.77"
"Olmesartan",2014,"4,016,252","768,506","$242.54","$44.83","$4.95","$0.88"
"Olmesartan",2015,"3,333,072","731,921","$373.11","$80.19","$5.30","$0.85"
"Olmesartan",2016,"3,805,975","755,201","$364.43","$40.88","$6.84","$0.99"
"Olmesartan",2017,"2,309,370","523,549","$206.85","$35.33","$4.28","$0.74"
"Olmesartan",2018,"2,068,391","564,613","$54.04","$17.67","$1.08","$0.37"
"Olmesartan",2019,"3,742,011","1,000,776","$41.22","$17.64","$0.65","$0.30"
"Olmesartan",2020,"4,458,453","1,163,607","$67.74","$11.21","$1.23","$0.16"
"Olmesartan",2021,"4,581,362","1,173,921","$41.12","$13.00","$0.62","$0.24"
"Olmesartan",2022,"6,554,547","1,703,089","$25.75","$12.81","$0.34","$0.19"
"Acetaminophen; Oxycodone",2013,"17,221,354","6,899,099","$112.60","$13.03","$2.72","$0.94"
"Acetaminophen; Oxycodone",2014,"17,194,483","6,692,592","$121.63","$10.98","$7.08","$1.06"
"Acetaminophen; Oxycodone",2015,"16,453,860","6,597,201","$69.81","$11.32","$6.20","$1.10"
"Acetaminophen; Oxycodone",2016,"14,320,276","5,356,500","$60.80","$12.00","$4.13","$0.80"
"Acetaminophen; Oxycodone",2017,"12,029,131","4,341,940","$43.50","$10.58","$3.35","$1.00"
"Acetaminophen; Oxycodone",2018,"14,536,740","4,159,877","$95.59","$19.24","$4.37","$0.98"
"Acetaminophen; Oxycodone",2019,"11,962,650","3,850,554","$79.04","$11.93","$3.91","$0.78"
"Acetaminophen; Oxycodone",2020,"10,086,467","2,702,463","$75.05","$9.86","$2.20","$0.70"
"Acetaminophen; Oxycodone",2021,"8,987,786","2,612,150","$32.62","$8.35","$2.09","$0.65"
"Acetaminophen; Oxycodone",2022,"6,531,255","2,280,831","$44.03","$9.08","$2.85","$0.65"
"Ethinyl Estradiol; Norgestimate",2013,"16,266,614","2,960,822","$34.98","$9.84","$0.91","$0.30"
"Ethinyl Estradiol; Norgestimate",2014,"17,831,558","3,318,854","$54.28","$9.70","$1.15","$0.19"
"Ethinyl Estradiol; Norgestimate",2015,"19,052,886","3,490,631","$34.74","$4.18","$0.85","$0.13"
"Ethinyl Estradiol; Norgestimate",2016,"13,426,358","2,086,065","$34.38","$2.45","$0.69","$0.04"
"Ethinyl Estradiol; Norgestimate",2017,"12,316,410","2,342,574","$30.70","$4.36","$0.78","$0.16"
"Ethinyl Estradiol; Norgestimate",2018,"10,182,625","2,294,357","$25.46","$3.70","$0.64","$0.11"
"Ethinyl Estradiol; Norgestimate",2019,"10,860,083","2,372,165","$27.00","$3.52","$0.47","$0.10"
"Ethinyl Estradiol; Norgestimate",2020,"10,686,537","2,556,898","$20.60","$2.63","$0.50","$0.06"
"Ethinyl Estradiol; Norgestimate",2021,"8,963,409","2,283,373","$23.25","$3.35","$0.38","$0.06"
"Ethinyl Estradiol; Norgestimate",2022,"6,339,863","1,867,085","$24.47","$3.91","$0.50","$0.09"
"Diltiazem",2013,"11,870,338","2,359,531","$51.67","$11.72","$1.08","$0.28"
"Diltiazem",2014,"12,853,214","2,245,211","$46.29","$15.29","$1.09","$0.39"
"Diltiazem",2015,"11,405,865","2,354,660","$52.64","$12.01","$1.27","$0.29"
"Diltiazem",2016,"12,257,572","2,433,994","$57.73","$16.62","$1.19","$0.40"
"Diltiazem",2017,"10,504,285","2,050,077","$71.57","$13.48","$1.35","$0.31"
"Diltiazem",2018,"10,518,487","2,280,918","$60.25","$12.74","$0.94","$0.23"
"Diltiazem",2019,"10,604,813","2,159,158","$50.68","$15.25","$1.03","$0.36"
"Diltiazem",2020,"9,787,088","2,114,110","$97.44","$19.44","$1.32","$0.29"
"Diltiazem",2021,"8,522,821","2,091,547","$86.45","$15.51","$1.49","$0.29"
"Diltiazem",2022,"6,257,580","1,785,422","$58.98","$15.22","$1.02","$0.25"
"Cephalexin",2013,"7,699,492","5,838,015","$12.73","$6.44","$2.47","$1.06"
"Cephalexin",2014,"7,886,065","5,893,203","$12.47","$5.24","$1.47","$0.64"
"Cephalexin",2015,"7,136,940","5,167,469","$12.41","$4.13","$1.71","$0.47"
"Cephalexin",2016,"6,785,958","4,901,113","$26.26","$6.99","$3.74","$0.98"
"Cephalexin",2017,"7,240,287","4,639,737","$16.66","$4.55","$2.29","$0.59"
"Cephalexin",2018,"8,938,064","5,845,428","$14.13","$4.66","$1.91","$0.63"
"Cephalexin",2019,"9,246,463","6,267,878","$18.00","$4.90","$2.35","$0.63"
"Cephalexin",2020,"7,011,968","4,975,921","$14.26","$5.24","$1.92","$0.80"
"Cephalexin",2021,"7,322,464","4,945,408","$17.91","$5.34","$2.04","$0.62"
"Cephalexin",2022,"6,228,250","4,570,468","$13.53","$5.50","$2.07","$0.77"
"Triamcinolone",2013,"5,046,108","2,779,780","$29.12","$10.62","$1.30","$0.49"
"Triamcinolone",2014,"4,419,530","2,956,806","$12.22","$5.52","$0.93","$0.43"
"Triamcinolone",2015,"4,402,204","2,833,634","$17.80","$5.33","$0.91","$0.35"
"Triamcinolone",2016,"6,077,301","3,326,700","$18.21","$6.91","$0.86","$0.32"
"Triamcinolone",2017,"7,190,528","3,779,585","$67.69","$8.00","$3.22","$0.48"
"Triamcinolone",2018,"6,848,479","3,995,753","$16.28","$5.66","$0.94","$0.32"
"Triamcinolone",2019,"6,320,751","4,026,933","$13.35","$5.88","$0.72","$0.32"
"Triamcinolone",2020,"6,422,561","3,926,352","$13.55","$5.13","$1.55","$1.09"
"Triamcinolone",2021,"6,413,003","4,010,734","$15.50","$5.06","$0.80","$0.29"
"Triamcinolone",2022,"6,216,924","4,171,508","$13.21","$5.57","$0.58","$0.24"
"Alendronate",2013,"11,196,809","2,180,195","$22.03","$7.26","$0.44","$0.15"
"Alendronate",2014,"8,459,284","1,860,129","$61.42","$6.94","$2.94","$0.17"
"Alendronate",2015,"10,005,087","2,030,858","$32.69","$5.44","$0.89","$0.11"
"Alendronate",2016,"10,576,011","2,133,995","$46.11","$4.17","$1.11","$0.07"
"Alendronate",2017,"8,959,166","2,157,611","$13.54","$5.20","$0.34","$0.12"
"Alendronate",2018,"7,119,333","1,770,748","$14.81","$5.94","$0.52","$0.13"
"Alendronate",2019,"7,811,899","2,010,715","$20.05","$5.73","$1.78","$0.51"
"Alendronate",2020,"7,923,120","2,010,411","$11.30","$3.84","$0.27","$0.07"
"Alendronate",2021,"7,482,354","2,145,965","$13.98","$3.99","$0.29","$0.07"
"Alendronate",2022,"6,127,862","1,912,735","$20.32","$5.45","$0.36","$0.13"
"Baclofen",2013,"4,637,548","995,350","$18.52","$4.49","$0.49","$0.15"
"Baclofen",2014,"4,764,197","1,102,706","$65.24","$5.27","$2.76","$0.32"
"Baclofen",2015,"5,174,424","1,263,324","$75.84","$8.43","$3.55","$0.16"
"Baclofen",2016,"5,708,865","1,440,393","$39.04","$4.61","$1.78","$0.19"
"Baclofen",2017,"4,587,435","1,200,383","$34.20","$5.60","$1.29","$0.18"
"Baclofen",2018,"5,642,530","1,422,574","$39.67","$6.85","$1.53","$0.24"
"Baclofen",2019,"5,366,102","1,428,051","$51.08","$7.52","$1.55","$0.23"
"Baclofen",2020,"6,009,146","1,519,109","$28.63","$6.29","$0.67","$0.19"
"Baclofen",2021,"6,516,375","1,635,619","$35.14","$6.41","$1.12","$0.24"
"Baclofen",2022,"6,099,128","1,603,798","$24.76","$6.12","$0.77","$0.21"
"Mirtazapine",2013,"5,676,508","1,064,143","$21.62","$4.39","$0.65","$0.12"
"Mirtazapine",2014,"6,562,967","1,287,014","$31.39","$3.71","$0.65","$0.11"
"Mirtazapine",2015,"5,132,323","911,884","$33.89","$5.81","$0.93","$0.20"
"Mirtazapine",2016,"5,547,697","1,102,506","$30.89","$6.57","$0.73","$0.19"
"Mirtazapine",2017,"6,258,585","1,247,582","$34.08","$5.20","$0.80","$0.12"
"Mirtazapine",2018,"7,504,257","1,405,315","$28.79","$5.61","$0.80","$0.15"
"Mirtazapine",2019,"6,332,488","1,231,211","$28.17","$5.69","$0.75","$0.13"
"Mirtazapine",2020,"6,601,131","1,160,871","$21.94","$7.70","$0.58","$0.22"
"Mirtazapine",2021,"4,752,292","1,063,153","$22.42","$7.10","$0.51","$0.19"
"Mirtazapine",2022,"6,069,480","1,310,009","$16.98","$5.71","$0.51","$0.21"
"Aripiprazole",2013,"6,472,412","993,185","$889.27","$36.83","$26.58","$0.79"
"Aripiprazole",2014,"6,520,070","1,040,072","$983.56","$86.39","$31.26","$3.50"
"Aripiprazole",2015,"5,410,931","869,024","$966.88","$33.07","$32.66","$1.66"
"Aripiprazole",2016,"5,186,998","916,375","$565.83","$28.79","$19.94","$0.70"
"Aripiprazole",2017,"6,695,764","1,119,670","$321.78","$20.15","$11.35","$0.77"
"Aripiprazole",2018,"7,406,248","1,303,557","$293.74","$16.24","$14.01","$0.63"
"Aripiprazole",2019,"6,625,791","1,370,773","$494.67","$12.80","$10.92","$0.31"
"Aripiprazole",2020,"8,267,949","1,330,788","$269.65","$26.08","$8.83","$0.83"
"Aripiprazole",2021,"6,805,675","1,400,604","$308.51","$19.46","$11.55","$0.38"
"Aripiprazole",2022,"6,053,911","1,275,362","$92.52","$9.06","$3.62","$0.14"
"Ferrous Sulfate",2013,"9,623,429","2,511,717","$7.56","$3.28","$0.20","$0.09"
"Ferrous Sulfate",2014,"7,422,924","2,098,174","$5.02","$3.93","$0.17","$0.14"
"Ferrous Sulfate",2015,"7,519,606","1,945,794","$6.21","$3.61","$0.19","$0.09"
"Ferrous Sulfate",2016,"8,516,263","2,235,076","$6.85","$3.88","$0.23","$0.12"
"Ferrous Sulfate",2017,"8,698,003","2,191,254","$5.76","$4.39","$0.23","$0.18"
"Ferrous Sulfate",2018,"8,776,839","2,432,714","$5.35","$3.68","$0.14","$0.09"
"Ferrous Sulfate",2019,"6,417,568","2,135,927","$5.91","$4.37","$0.16","$0.11"
"Ferrous Sulfate",2020,"5,652,902","1,828,969","$6.52","$3.90","$0.13","$0.09"
"Ferrous Sulfate",2021,"6,320,872","2,164,663","$5.85","$4.56","$0.13","$0.09"
"Ferrous Sulfate",2022,"6,042,033","2,327,497","$6.17","$3.87","$0.13","$0.07"
"Chlorthalidone",2013,"3,111,180","561,380","$22.06","$7.35","$0.48","$0.15"
"Chlorthalidone",2014,"3,226,084","810,119","$31.90","$8.03","$0.63","$0.16"
"Chlorthalidone",2015,"3,213,826","790,854","$45.13","$8.01","$0.82","$0.16"
"Chlorthalidone",2016,"3,551,730","822,135","$45.18","$15.23","$0.71","$0.26"
"Chlorthalidone",2017,"3,601,956","828,951","$37.69","$12.31","$0.82","$0.23"
"Chlorthalidone",2018,"3,883,003","968,260","$35.57","$10.96","$0.71","$0.22"
"Chlorthalidone",2019,"4,986,853","1,195,004","$42.18","$11.37","$0.65","$0.22"
"Chlorthalidone",2020,"4,707,841","1,269,577","$40.18","$10.73","$0.61","$0.16"
"Chlorthalidone",2021,"4,577,162","1,281,201","$28.93","$11.45","$0.58","$0.22"
"Chlorthalidone",2022,"5,928,576","1,597,980","$24.90","$8.51","$0.45","$0.15"
"Dexmethylphenidate",2013,"3,872,440","530,400","$200.44","$36.12","$7.07","$0.42"
"Dexmethylphenidate",2014,"3,194,849","529,420","$196.81","$22.06","$6.69","$0.92"
"Dexmethylphenidate",2015,"2,199,998","331,928","$268.12","$36.77","$9.66","$0.99"
"Dexmethylphenidate",2016,"2,575,619","393,935","$209.75","$16.87","$7.74","$0.56"
"Dexmethylphenidate",2017,"3,102,541","502,733","$152.90","$16.01","$5.37","$0.54"
"Dexmethylphenidate",2018,"3,961,348","633,049","$204.23","$13.99","$5.54","$0.58"
"Dexmethylphenidate",2019,"5,179,401","714,477","$223.04","$11.55","$8.31","$0.73"
"Dexmethylphenidate",2020,"4,802,551","681,537","$201.39","$12.82","$7.41","$0.67"
"Dexmethylphenidate",2021,"4,936,398","632,395","$275.72","$28.27","$13.67","$1.39"
"Dexmethylphenidate",2022,"5,809,075","727,981","$143.77","$17.23","$6.53","$0.54"
"Oxybutynin",2013,"7,512,261","1,681,048","$54.08","$11.53","$1.15","$0.18"
"Oxybutynin",2014,"7,057,593","1,500,672","$56.21","$9.88","$1.44","$0.27"
"Oxybutynin",2015,"6,388,504","1,624,135","$79.76","$12.36","$1.63","$0.29"
"Oxybutynin",2016,"6,735,604","1,442,455","$57.13","$12.20","$1.06","$0.22"
"Oxybutynin",2017,"7,935,806","1,488,243","$50.12","$17.42","$1.04","$0.32"
"Oxybutynin",2018,"7,362,570","1,766,686","$47.53","$17.87","$1.05","$0.36"
"Oxybutynin",2019,"5,901,953","1,476,858","$48.17","$15.74","$0.96","$0.33"
"Oxybutynin",2020,"7,098,461","1,782,229","$39.39","$15.04","$0.72","$0.33"
"Oxybutynin",2021,"6,619,470","1,711,957","$46.03","$12.84","$1.07","$0.19"
"Oxybutynin",2022,"5,781,797","1,749,942","$41.54","$12.01","$0.71","$0.17"
"Lovastatin",2013,"15,483,087","2,895,422","$18.82","$6.63","$0.43","$0.15"
"Lovastatin",2014,"12,970,784","2,340,405","$27.48","$7.59","$0.46","$0.13"
"Lovastatin",2015,"11,455,915","2,196,290","$23.01","$5.42","$0.60","$0.10"
"Lovastatin",2016,"11,000,895","2,190,693","$21.53","$5.24","$0.33","$0.08"
"Lovastatin",2017,"9,453,814","2,130,121","$15.99","$5.58","$0.28","$0.11"
"Lovastatin",2018,"8,769,143","2,039,445","$18.90","$5.44","$0.33","$0.08"
"Lovastatin",2019,"8,091,735","1,897,500","$21.08","$4.99","$0.44","$0.14"
"Lovastatin",2020,"7,033,634","1,609,729","$21.86","$4.32","$0.37","$0.07"
"Lovastatin",2021,"6,673,173","1,587,134","$21.19","$4.51","$0.35","$0.07"
"Lovastatin",2022,"5,745,441","1,419,808","$23.04","$6.58","$0.41","$0.12"
"Hydroxychloroquine",2013,"4,673,577","838,250","$38.06","$9.72","$0.94","$0.23"
"Hydroxychloroquine",2014,"5,473,857","1,015,065","$53.93","$9.73","$1.21","$0.21"
"Hydroxychloroquine",2015,"5,523,606","974,750","$139.54","$13.61","$3.00","$0.31"
"Hydroxychloroquine",2016,"4,965,681","922,707","$194.86","$17.38","$4.93","$0.39"
"Hydroxychloroquine",2017,"5,666,999","1,175,093","$179.23","$23.84","$3.69","$0.55"
"Hydroxychloroquine",2018,"5,417,656","1,275,750","$127.97","$32.12","$2.57","$0.55"
"Hydroxychloroquine",2019,"5,440,844","1,220,122","$112.82","$21.15","$2.45","$0.45"
"Hydroxychloroquine",2020,"4,992,835","1,224,515","$81.30","$19.29","$1.63","$0.38"
"Hydroxychloroquine",2021,"5,222,102","1,329,229","$70.37","$19.78","$1.73","$0.41"
"Hydroxychloroquine",2022,"5,566,988","1,214,358","$50.34","$19.16","$1.13","$0.38"
"Valacyclovir",2013,"3,983,619","1,428,169","$134.93","$15.27","$7.29","$1.51"
"Valacyclovir",2014,"3,269,988","1,420,198","$151.18","$17.78","$8.72","$1.15"
"Valacyclovir",2015,"3,600,104","1,481,443","$205.89","$12.18","$11.40","$1.45"
"Valacyclovir",2016,"3,730,423","1,571,418","$81.12","$14.53","$9.37","$1.74"
"Valacyclovir",2017,"4,230,834","1,650,573","$46.66","$19.79","$6.35","$2.55"
"Valacyclovir",2018,"4,931,639","2,087,445","$111.56","$12.78","$7.01","$0.78"
"Valacyclovir",2019,"5,987,835","2,824,569","$72.50","$12.42","$7.67","$1.12"
"Valacyclovir",2020,"5,466,726","2,410,470","$39.53","$15.00","$2.97","$0.80"
"Valacyclovir",2021,"5,268,219","2,165,806","$45.06","$15.54","$2.99","$0.87"
"Valacyclovir",2022,"5,529,292","2,563,195","$42.79","$15.22","$2.61","$0.94"
"Acetaminophen",2013,"4,980,246","2,877,025","$6.09","$1.72","$0.74","$0.23"
"Acetaminophen",2014,"7,265,438","2,668,347","$5.77","$2.92","$0.69","$0.23"
"Acetaminophen",2015,"6,634,310","3,030,793","$5.72","$2.38","$0.51","$0.24"
"Acetaminophen",2016,"8,676,354","4,397,234","$6.05","$2.52","$0.67","$0.28"
"Acetaminophen",2017,"7,078,691","3,500,359","$6.12","$2.45","$0.68","$0.21"
"Acetaminophen",2018,"8,927,762","3,305,272","$8.46","$3.03","$0.58","$0.17"
"Acetaminophen",2019,"4,483,857","2,536,254","$5.79","$1.34","$0.95","$0.15"
"Acetaminophen",2020,"5,610,163","2,717,148","$5.94","$2.67","$0.52","$0.18"
"Acetaminophen",2021,"5,327,155","2,796,327","$7.56","$3.16","$0.83","$0.31"
"Acetaminophen",2022,"5,512,120","2,703,476","$8.67","$2.46","$1.01","$0.21"
"Dapagliflozin",2015,"1,659,063","335,387","$399.22","$74.74","$12.36","$0.79"
"Dapagliflozin",2016,"1,057,213","291,519","$447.43","$29.10","$12.17","$1.53"
"Dapagliflozin",2017,"1,639,236","408,842","$577.14","$46.07","$13.08","$1.05"
"Dapagliflozin",2018,"2,304,572","372,175","$581.25","$36.28","$15.02","$1.40"
"Dapagliflozin",2019,"1,217,748","319,780","$814.75","$36.80","$16.98","$0.93"
"Dapagliflozin",2020,"2,233,919","457,195","$1,044.87","$19.94","$20.16","$0.44"
"Dapagliflozin",2021,"2,607,169","715,994","$1,032.66","$43.51","$18.41","$1.07"
"Dapagliflozin",2022,"5,503,867","1,372,807","$968.16","$26.78","$18.46","$0.73"
"Hydrochlorothiazide; Triamterene",2013,"10,087,730","2,003,985","$14.61","$7.64","$0.27","$0.14"
"Hydrochlorothiazide; Triamterene",2014,"10,970,464","2,225,213","$14.43","$5.65","$0.25","$0.10"
"Hydrochlorothiazide; Triamterene",2015,"11,974,413","2,280,024","$13.34","$6.69","$0.27","$0.13"
"Hydrochlorothiazide; Triamterene",2016,"12,735,626","2,377,269","$14.84","$7.14","$0.23","$0.13"
"Hydrochlorothiazide; Triamterene",2017,"7,631,431","1,840,629","$15.82","$7.47","$0.25","$0.12"
"Hydrochlorothiazide; Triamterene",2018,"6,007,404","1,416,877","$12.95","$7.31","$0.24","$0.16"
"Hydrochlorothiazide; Triamterene",2019,"5,792,730","1,313,745","$13.55","$7.57","$0.23","$0.14"
"Hydrochlorothiazide; Triamterene",2020,"4,783,812","1,167,750","$15.29","$10.40","$0.25","$0.19"
"Hydrochlorothiazide; Triamterene",2021,"5,428,906","1,392,875","$13.58","$7.30","$0.27","$0.13"
"Hydrochlorothiazide; Triamterene",2022,"5,500,903","1,489,499","$12.44","$5.87","$0.15","$0.07"
"Valsartan",2013,"11,784,368","1,891,767","$218.93","$36.04","$5.16","$0.69"
"Valsartan",2014,"8,793,671","1,656,143","$226.50","$45.82","$5.14","$0.91"
"Valsartan",2015,"7,865,273","1,699,664","$119.02","$14.84","$2.12","$0.36"
"Valsartan",2016,"8,406,000","1,661,828","$129.41","$12.06","$1.94","$0.26"
"Valsartan",2017,"9,231,279","1,891,044","$65.03","$11.35","$1.19","$0.26"
"Valsartan",2018,"7,694,037","1,834,658","$113.55","$11.38","$2.39","$0.28"
"Valsartan",2019,"4,158,666","1,072,224","$86.18","$17.59","$1.49","$0.28"
"Valsartan",2020,"5,173,072","1,328,940","$65.98","$17.85","$1.50","$0.34"
"Valsartan",2021,"5,151,116","1,457,484","$59.51","$13.93","$0.97","$0.22"
"Valsartan",2022,"5,450,866","1,714,202","$49.28","$11.67","$0.65","$0.22"
"Testosterone",2013,"5,117,026","1,184,313","$399.19","$43.09","$12.87","$1.45"
"Testosterone",2014,"5,336,442","1,110,058","$345.01","$36.44","$10.83","$0.95"
"Testosterone",2015,"3,929,881","925,272","$274.89","$58.99","$9.69","$1.23"
"Testosterone",2016,"4,413,016","818,991","$153.86","$29.41","$4.66","$0.94"
"Testosterone",2017,"5,441,196","1,043,224","$334.69","$42.98","$7.56","$0.67"
"Testosterone",2018,"5,519,285","1,144,944","$301.95","$31.88","$8.04","$0.95"
"Testosterone",2019,"5,339,785","1,225,167","$270.94","$38.92","$5.42","$0.92"
"Testosterone",2020,"3,359,583","946,138","$304.52","$41.07","$7.76","$0.64"
"Testosterone",2021,"4,021,439","839,946","$209.04","$29.67","$2.58","$0.66"
"Testosterone",2022,"5,432,642","1,394,497","$90.90","$33.50","$2.65","$0.85"
"Isosorbide",2013,"7,672,911","1,327,331","$21.05","$4.74","$0.52","$0.10"
"Isosorbide",2014,"7,514,558","1,530,345","$20.71","$7.27","$0.46","$0.14"
"Isosorbide",2015,"6,353,254","1,148,956","$18.02","$6.46","$0.48","$0.14"
"Isosorbide",2016,"7,360,509","1,426,237","$23.37","$5.76","$0.43","$0.15"
"Isosorbide",2017,"6,704,638","1,370,354","$22.22","$7.60","$0.49","$0.22"
"Isosorbide",2018,"6,713,377","1,418,224","$22.18","$7.75","$0.43","$0.12"
"Isosorbide",2019,"5,420,352","1,196,717","$16.81","$8.19","$0.31","$0.14"
"Isosorbide",2020,"5,795,198","1,395,825","$16.50","$7.28","$0.22","$0.10"
"Isosorbide",2021,"5,601,959","1,436,412","$16.56","$7.80","$0.25","$0.13"
"Isosorbide",2022,"5,429,185","1,322,047","$23.87","$5.13","$0.41","$0.09"
"Pioglitazone",2013,"6,395,592","985,354","$245.39","$30.19","$4.22","$0.53"
"Pioglitazone",2014,"6,528,320","1,200,739","$136.67","$12.30","$4.89","$0.58"
"Pioglitazone",2015,"5,802,593","1,133,791","$125.85","$9.85","$3.40","$0.28"
"Pioglitazone",2016,"6,563,097","1,169,304","$86.03","$6.97","$1.69","$0.15"
"Pioglitazone",2017,"5,967,857","959,275","$96.08","$6.58","$2.28","$0.16"
"Pioglitazone",2018,"5,178,776","1,106,190","$84.43","$6.94","$2.20","$0.15"
"Pioglitazone",2019,"3,241,839","858,233","$68.65","$11.81","$0.85","$0.19"
"Pioglitazone",2020,"3,443,215","872,309","$30.01","$9.92","$0.40","$0.10"
"Pioglitazone",2021,"4,526,638","1,045,883","$120.39","$9.40","$2.34","$0.20"
"Pioglitazone",2022,"5,389,600","1,162,718","$95.62","$4.96","$1.53","$0.10"
"Hydralazine",2013,"5,455,094","954,361","$25.91","$6.46","$0.74","$0.15"
"Hydralazine",2014,"5,946,943","1,093,214","$24.63","$6.14","$0.62","$0.15"
"Hydralazine",2015,"6,166,631","1,160,985","$23.58","$5.96","$0.60","$0.11"
"Hydralazine",2016,"4,888,742","1,113,547","$29.86","$6.60","$0.55","$0.09"
"Hydralazine",2017,"7,117,425","1,578,422","$25.57","$7.46","$0.55","$0.18"
"Hydralazine",2018,"7,545,026","1,670,423","$26.99","$9.34","$0.52","$0.19"
"Hydralazine",2019,"6,655,156","1,694,706","$20.08","$6.04","$0.44","$0.16"
"Hydralazine",2020,"6,663,220","1,649,246","$21.00","$7.47","$0.43","$0.17"
"Hydralazine",2021,"6,234,195","1,624,406","$18.35","$6.76","$0.37","$0.10"
"Hydralazine",2022,"5,298,188","1,544,740","$19.67","$7.14","$0.27","$0.12"
"Esomeprazole",2013,"17,524,772","3,420,016","$343.28","$36.39","$7.83","$1.02"
"Esomeprazole",2014,"14,963,819","3,287,592","$430.93","$38.34","$9.36","$0.70"
"Esomeprazole",2015,"13,177,033","2,887,487","$404.15","$26.81","$8.03","$0.49"
"Esomeprazole",2016,"11,417,610","2,496,266","$348.75","$23.14","$6.29","$0.38"
"Esomeprazole",2017,"9,036,551","2,235,423","$244.86","$25.13","$5.36","$0.80"
"Esomeprazole",2018,"7,227,318","1,678,723","$214.92","$22.16","$4.20","$0.44"
"Esomeprazole",2019,"5,305,918","1,296,630","$219.65","$37.44","$3.86","$0.35"
"Esomeprazole",2020,"5,204,950","1,257,544","$203.93","$22.47","$4.33","$0.35"
"Esomeprazole",2021,"4,673,931","1,068,821","$195.00","$27.19","$3.85","$0.60"
"Esomeprazole",2022,"5,207,671","1,215,844","$197.26","$27.10","$3.98","$0.43"
"Levetiracetam",2013,"5,831,937","917,067","$114.44","$21.58","$4.29","$0.56"
"Levetiracetam",2014,"5,493,521","949,515","$133.37","$22.52","$3.90","$0.57"
"Levetiracetam",2015,"6,122,304","1,009,912","$94.27","$10.23","$2.13","$0.21"
"Levetiracetam",2016,"8,534,737","1,341,443","$111.85","$7.51","$2.56","$0.18"
"Levetiracetam",2017,"6,832,916","1,127,405","$89.98","$5.76","$3.00","$0.13"
"Levetiracetam",2018,"7,666,166","1,208,963","$118.24","$21.06","$2.24","$0.21"
"Levetiracetam",2019,"7,560,850","1,443,028","$187.21","$20.47","$3.84","$0.37"
"Levetiracetam",2020,"7,967,535","1,469,443","$42.98","$13.81","$0.70","$0.20"
"Levetiracetam",2021,"6,633,071","1,377,442","$60.87","$14.39","$0.94","$0.36"
"Levetiracetam",2022,"5,202,579","1,182,326","$45.44","$9.92","$0.92","$0.18"
"Azelastine",2013,"2,195,393","725,410","$109.69","$12.88","$3.72","$0.35"
"Azelastine",2014,"2,228,243","657,085","$94.89","$13.04","$2.59","$0.38"
